,num_USDC_deposits,num_USDC_withdrawals,aUSDC_balance,30_day_log10_aUSDC_num_transactions,90_day_log10_aUSDC_num_transactions,180_day_log10_aUSDC_num_transactions,log10_aUSDC_avg_size,num_USDC_borrows,num_USDC_repayments,variableDebtUSDC_balance,30_day_log10_variableDebtUSDC_num_transactions,90_day_log10_variableDebtUSDC_num_transactions,180_day_log10_variableDebtUSDC_num_transactions,log10_variableDebtUSDC_avg_size,flash_loan,stkAAVE_balance,stkAAVE,xSUSHI_balance,xSUSHI,num_aave_gov_votes,aave_voter,total_aave_rewards,total_claim_actions
0x7e3778eb6e595bf22b4afc290a3aa8ca6d58c869,3.0,1.0,0.0,0.0,1.0,1.146128035678238,4.286833776385282,2.0,1.0,0.0,0.0,0.6989700043360189,0.9542425094393249,3.768054876717396,True,1.0,True,0.0,False,0.0,False,-0.4606060537375532,0.0
0x7e3a74ab669d4c5f411940e97d1c29db3d39e950,1.0,1.0,0.0,0.0,0.3010299956639812,0.3010299956639812,3.750348687056455,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e3c2db81a5790ffa7a5169701a8e1db5345cc97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6020599913279624,4.916810911162346,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e3eec0c633ce4de39f237b1a24259ed2fe9cda3,1.0,1.0,1.0,0.0,0.0,0.0,3.477265995424853,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,1.0,True,0.0,False,0.0,False,0.0,0.0
0x7e4067fd59cd1083560001f17baf8b8bd77128a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3010299956639812,3.9032724571641,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e4cd22ddb73fff4ca0bd3055d674ff8ded9b1ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.7829673707394558,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e4db5588f53e99acd93954551bcb3cd4063d1cd,1.0,1.0,0.0,0.0,0.6020599913279624,0.6020599913279624,3.425630960556465,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,1.0,True,0.0,False,0.0,False,-1.6274724073102966,0.0
0x7e5541ceeb1c1b24ca847f52f9505533f1c557e0,1.0,1.0,2.0,0.0,0.0,0.0,3.3866630211820747,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e5ec580faa8d6dffba066f964768f178e810ba4,3.0,3.0,0.0,0.0,1.3617278360175928,1.414973347970818,5.891384561634516,2.0,2.0,0.0,0.0,1.0,1.0,5.935366685305937,False,0.0,False,0.0,False,0.0,False,1.9763004821583987,1.3862943611198906
0x7e65dcd1ac2520e386c125684d67ca379437c01a,1.0,1.0,4.0,0.0,0.0,0.47712125471966244,4.4102146795861845,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e665599251cc6c6d6979659956e0a1abb7756b0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.7781512503836436,0.8450980400142568,2.9883666238216535,False,1.0,True,0.0,False,0.0,False,-1.0724986496812543,0.0
0x7e6955b0d21de779b05218d4afcccf3274c68dc3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.3979400086720377,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e7155eb8da599689db70089eb1930de47111ce5,1.0,1.0,0.0,0.3010299956639812,0.3010299956639812,0.3010299956639812,2.000000013028834,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e73421a372825d779b46ab5d53c3db6ca2eba4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e74bc5665e71961f0f7af181ea9a9aad6424576,1.0,1.0,5.0,0.0,0.0,0.0,6.477121254719663,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e74da410a8e2fe1a1eef6e8b8eccf0ad6129868,1.0,1.0,4.0,0.0,0.0,0.3010299956639812,4.3979400086720375,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e7c15ea104e49036cce3370eaac465a18414e13,1.0,1.0,1.0,0.0,0.0,0.0,3.8127703499941195,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e7f0abeb5113644efed3ef9e27b1aaccf534563,1.0,1.0,1.0,0.0,0.47712125471966244,0.47712125471966244,3.6049224263202504,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e831f0e001eeecdeb684303b444c3c57fbb2726,1.0,1.0,0.0,0.3010299956639812,0.3010299956639812,0.47712125471966244,5.252766525337907,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,1.0,True,0.0,False,0.0,False,0.4990933427208574,0.0
0x7e8dd7888ad3df72fcde44fa7f7b67441a05d893,1.0,1.0,1.0,0.0,0.0,0.0,1.8081863532001723,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e9821795ce92934059e514429ab817052d1d890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.3010299956639812,0.3010299956639812,0.3010299956639812,4.1591910829807,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7ea2eadc95cfbd08fe8f641ad07bcc540f6ff3dc,1.0,1.0,2.0,0.0,0.0,0.0,2.9925535178321354,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7ea4066237ffd02759abd20e9cf6f8768b2d835d,1.0,1.0,1.0,0.0,0.0,0.0,1.8750612633917,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7eab6a31166d90255862be4295f788a9abff9064,1.0,1.0,1.0,0.6020599913279624,0.6020599913279624,0.6020599913279624,6.2497138854803,1.0,1.0,0.0,0.47712125471966244,0.6020599913279624,0.6020599913279624,6.453964320917254,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7eb010ee94df76f0310b9abcda8ffc301983d6bf,2.0,2.0,1.0,0.9542425094393249,1.0413926851582251,1.0413926851582251,3.371224186800319,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7eb510a2d3316dd2cdca937a95ec81cdf140a98d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.47712125471966244,0.47712125471966244,0.47712125471966244,4.694910589726632,False,1.0,True,0.0,False,0.0,False,0.0,0.0
0x7eb60e34bbe1bea300411ff9a4ce2e654c70561d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.1760912590556813,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7eb78f0ccc646dcb285d1bcf908bf7cad586ba18,1.0,1.0,0.0,0.0,0.3010299956639812,0.3010299956639812,4.8743145411219775,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7eb9d67f9daea510399a1ee978b36e66626058d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3010299956639812,4.78670365083311,False,1.0,True,0.0,False,0.0,False,0.591704956262579,0.0
0x7ebbac8090c5541dce41c52e59589b4dfc595a9b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6020599913279624,0.6020599913279624,3.7578298526117124,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7ec0899b0ae20e437f8787303f093c54b7d7539f,2.0,1.0,1.0,0.0,0.0,0.6020599913279624,4.0151247200617775,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7ec1e82544b45a2a196c0e78c13744944f94210b,1.0,1.0,3.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,1.0,True,0.0,False,0.0,False,0.0,0.0
0x7ec80c17bf346c8256bbc9ca254b2f590f5d7420,1.0,1.0,0.0,0.0,0.0,0.0,3.041392685158225,2.0,1.0,2.0,0.6989700043360189,0.6989700043360189,0.6989700043360189,3.1367205671564067,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7ecb0f818cad02f60ee0f6dc4aa93341824c4031,1.0,1.0,0.0,0.6020599913279624,0.6020599913279624,0.6020599913279624,4.385816757177608,2.0,1.0,4.0,0.47712125471966244,0.7781512503836436,0.8450980400142568,4.290968216382747,True,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7ed041f64461c0e9c69355637a703cbaaf60a465,1.0,1.0,2.0,0.0,0.0,0.0,3.1649230639268664,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,3.0,True,0.0,False,0.0,False,0.0,0.0
0x7ed1b300ea90e8461c9ac019a69a140ed7229371,1.0,1.0,4.0,0.0,0.3010299956639812,0.3010299956639812,4.208283304690181,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7ed7888f3bf70ed07f94fd7381d39476928331f7,1.0,1.0,0.0,0.0,0.3010299956639812,0.3010299956639812,4.041437494140798,1.0,1.0,2.0,0.3010299956639812,0.3010299956639812,0.3010299956639812,3.2041199826559246,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7ee933a6539a95e866afce265de061e93b9f77fa,1.0,1.0,4.0,0.0,0.47712125471966244,0.47712125471966244,4.627918312466758,1.0,1.0,0.0,0.0,0.0,0.6020599913279624,4.790089881185207,True,0.0,False,0.0,False,0.0,False,-0.11714972676398612,1.0986122886681098
0x7eeaf1899159bc11d89adcaa3b91931893772271,1.0,1.0,2.0,0.0,0.0,0.0,3.2921880340183183,1.0,1.0,2.0,0.6020599913279624,0.6020599913279624,0.6020599913279624,3.291451586104572,True,1.0,True,0.0,False,0.0,False,-4.84043280676638,0.0
0x7eedc89660a3275c338402dbb1bbf0c03bddf295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3010299956639812,0.3010299956639812,3.1866343073197054,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7ef7d111affc009d7a02ab8c6b95d451f5a5b72e,2.0,1.0,0.0,0.0,0.7781512503836436,0.7781512503836436,4.627881704059515,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,2.0,True,0.0,False,0.0,False,-0.23305493296185295,0.0
0x7efac8a02650396cdc162a8d989fa2edd87b2a13,3.0,3.0,0.0,0.7781512503836436,1.0791812460476249,1.255272505103306,4.835367493868658,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,1.0,True,3.0,True,0.0,False,-0.6253951964593283,0.0
0x7efe3ac6ec0ff5b6136766ac79a97c1e9d8fd585,1.0,1.0,1.0,0.0,0.0,0.0,4.103159324610589,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7f04676e9d3c251dec19b50f76923d66ecd9a050,1.0,1.0,1.0,0.0,0.0,0.0,1.873378736409141,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7f0e6fb7a1008620e4c142a048432de5a5205d4c,1.0,1.0,3.0,0.0,0.3010299956639812,0.3010299956639812,3.6989700043360187,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
